"","type","guess","se.guess","slip","se.slip","rmsea"
"PMA09","DINA",0.159,0.003,0.31,0.008,0.00500956796963348
"PMA10","DINA",0.243,0.003,0.023,0.001,0.00268075832863352
"PMA11","DINA",0.351,0.004,0.091,0.007,0.014947102963144
"PMA12","DINA",0.278,0.004,0.154,0.01,0.0173415758712215
"PMA13","DINA",0.417,0.004,0.102,0.007,0.0197353946988743
"PMA14","DINA",0.351,0.004,0.078,0.006,0.00912477913431028
"PMB10","DINA",0.202,0.003,0.298,0.014,0.00393751998392659
"PMB11","DINA",0.249,0.004,0.114,0.006,0.00474044290224231
"PMB12","DINA",0.287,0.004,0.365,0.017,0.0332943616051746
"PMB13","DINA",0.321,0.004,0.281,0.015,0.0283160481744455
"PMB14","DINA",0.375,0.005,0.288,0.007,0.0223718868646309
