"","type","guess","se.guess","slip","se.slip","rmsea"
"PMA15","DINA",0.144,0.003,0.19,0.008,0.0210671901774521
"PMA16","DINA",0.235,0.004,0.072,0.006,0.0106672727298919
"PMA17","DINA",0.217,0.003,0.18,0.009,0.0391639122536774
"PMA18","DINA",0.256,0.004,0.338,0.012,0.022122057690166
"PMA19","DINA",0.457,0.005,0.064,0.003,0.0423108445159863
"PMA20","DINA",0.221,0.004,0.317,0.008,0.0337121148300933
"PMA21","DINA",0.29,0.004,0.149,0.007,0.0326708001436677
"PMA22","DINA",0.359,0.004,0.007,0.001,0.0417676453768883
"PMA23","DINA",0.381,0.004,0.149,0.009,0.0592462829568053
"PMA24","DINA",0.348,0.004,0.137,0.008,0.0556933615773353
"PMA25","DINA",0.517,0.006,0.054,0.003,0.0422119078421132
"PMB15","DINA",0.156,0.004,0.405,0.009,0.0419033779947513
"PMB16","DINA",0.209,0.004,0.374,0.011,0.0697531115241436
"PMB17","DINA",0.218,0.003,0.064,0.01,0.0141872843167594
"PMB18","DINA",0.248,0.004,0.477,0.012,0.0432779376112829
"PMB19","DINA",0.195,0.003,0.26,0.012,0.0578008837119997
"PMB20","DINA",0.193,0.004,0.374,0.009,0.0595047195472837
"PMB21","DINA",0.352,0.004,0.196,0.011,0.0501727358480811
"PMB22","DINA",0.241,0.004,0.289,0.012,0.0438211458870048
"PMB23","DINA",0.297,0.004,0.314,0.011,0.0491597796578055
"PMB24","DINA",0.336,0.005,0.065,0.003,0.0220515026236285
"PMB25","DINA",0.374,0.007,0.068,0.002,0.0223009312595493
