"","type","guess","se.guess","slip","se.slip","rmsea"
"PMA09","DINA",0.153,0.003,0.253,0.006,0.00636176237045432
"PMA10","DINA",0.246,0.003,0.087,0.006,0.00339778464056397
"PMA11","DINA",0.352,0.004,0.091,0.006,0.0160509055806614
"PMA12","DINA",0.279,0.004,0.153,0.009,0.0177970102055351
"PMA13","DINA",0.417,0.005,0.101,0.007,0.0202472726391574
"PMA14","DINA",0.345,0.004,0.075,0.006,0.00849842846488655
"PMB10","DINA",0.192,0.003,0.272,0.012,0.00592388408409143
"PMB11","DINA",0.248,0.004,0.129,0.006,0.00602596415896311
"PMB12","DINA",0.288,0.004,0.362,0.017,0.0330056714797577
"PMB13","DINA",0.321,0.004,0.28,0.014,0.0286945612327578
"PMB14","DINA",0.368,0.005,0.289,0.007,0.0240928410756451
