"","type","guess","se.guess","slip","se.slip","rmsea"
"PMA01","DINA",0.135,0.003,0.162,0.013,0.010283247165099
"PMA02","DINA",0.065,0.001,0.139,0.005,0.0102345591723775
"PMA03","DINA",0.137,0.003,0.421,0.011,0.0459740578187128
"PMA04","DINA",0.416,0.005,0.251,0.013,0.0254652879386283
"PMA05","DINA",0.48,0.006,0.093,0.004,0.0204646465011037
"PMA06","DINA",0.439,0.005,0.199,0.011,0.0287429846832568
"PMA07","DINA",0.222,0.003,0.356,0.014,0.0560549697650047
"PMA08","DINA",0.554,0.006,0.019,0.001,0.0157396494556941
"PMB01","DINA",0.086,0.002,0.493,0.026,0.0217515880345649
"PMB02","DINA",0.261,0.005,0.204,0.005,0.00814664440647186
"PMB03","DINA",0.324,0.006,0.108,0.003,0.0192492655356654
"PMB04","DINA",0.326,0.005,0.179,0.005,0.0106919799455924
"PMB05","DINA",0.274,0.004,0.112,0.004,0.00677004608820052
"PMB06","DINA",0.348,0.005,0.251,0.008,0.0271887434891984
"PMB07","DINA",0.334,0.004,0.144,0.009,0.0298586857687278
"PMB08","DINA",0.377,0.004,0.097,0.006,0.0285335244698922
"PMB09","DINA",0.367,0.004,0.117,0.008,0.0264495009883576
