"","type","guess","se.guess","slip","se.slip","rmsea"
"PMA09","DINA",0.153,0.003,0.252,0.006,0.00625161112256736
"PMA10","DINA",0.246,0.003,0.086,0.006,0.00339594864230062
"PMA11","DINA",0.352,0.004,0.091,0.006,0.0160623824256067
"PMA12","DINA",0.279,0.004,0.154,0.009,0.0179809186415544
"PMA13","DINA",0.418,0.005,0.101,0.007,0.0204291963725904
"PMA14","DINA",0.344,0.004,0.075,0.006,0.00849522147197268
"PMB10","DINA",0.192,0.003,0.272,0.012,0.00591894859634847
"PMB11","DINA",0.248,0.004,0.13,0.006,0.00607644671791046
"PMB12","DINA",0.288,0.004,0.362,0.017,0.03280894259769
"PMB13","DINA",0.321,0.004,0.28,0.014,0.0288167568159436
"PMB14","DINA",0.368,0.005,0.29,0.007,0.0240016297992413
