"","type","guess","se.guess","slip","se.slip","rmsea"
"PMA15","DINA",0.144,0.003,0.187,0.008,0.0201892899960743
"PMA16","DINA",0.232,0.004,0.147,0.009,0.0107288398903144
"PMA17","DINA",0.215,0.003,0.18,0.009,0.0395407178876382
"PMA18","DINA",0.256,0.004,0.339,0.012,0.0215019144264998
"PMA19","DINA",0.428,0.005,0.065,0.003,0.0380205283645567
"PMA20","DINA",0.223,0.004,0.317,0.008,0.0339402739474855
"PMA21","DINA",0.285,0.004,0.147,0.007,0.0319946181987613
"PMA22","DINA",0.394,0.004,0.001,0,0.0468945004986644
"PMA23","DINA",0.381,0.004,0.151,0.009,0.0592520522159972
"PMA24","DINA",0.347,0.004,0.139,0.008,0.055536429672918
"PMA25","DINA",0.509,0.006,0.056,0.003,0.0449229615420323
"PMB15","DINA",0.157,0.004,0.403,0.008,0.0394366293179421
"PMB16","DINA",0.204,0.004,0.379,0.011,0.0696421179279381
"PMB17","DINA",0.22,0.003,0.148,0.014,0.0154535082499562
"PMB18","DINA",0.248,0.004,0.475,0.012,0.0401214565043289
"PMB19","DINA",0.196,0.003,0.255,0.012,0.0538458657167046
"PMB20","DINA",0.19,0.004,0.372,0.009,0.057608240611466
"PMB21","DINA",0.352,0.004,0.197,0.011,0.0496420548581155
"PMB22","DINA",0.241,0.004,0.289,0.012,0.0425146072411471
"PMB23","DINA",0.296,0.004,0.316,0.011,0.0490839200040492
"PMB24","DINA",0.329,0.005,0.081,0.003,0.0258234813535374
"PMB25","DINA",0.267,0.006,0.069,0.002,0.0215234646590118
