PMA01,PMA02,PMA03,PMA04,PMA05,PMA06,PMA07,PMA08,PMA09,PMA10,PMA11,PMA12,PMA13,PMA14,PMA15,PMA16,PMA17,PMA18,PMA19,PMA20,PMA21,PMA22,PMA23,PMA24,PMA25,PMB01,PMB02,PMB03,PMB04,PMB05,PMB06,PMB07,PMB08,PMB09,PMB10,PMB11,PMB12,PMB13,PMB14,PMB15,PMB16,PMB17,PMB18,PMB19,PMB20,PMB21,PMB22,PMB23,PMB24,PMB25,ALUMNO,ESCUELA,ID_ENT,NOM_ENT,ID_SERV,SERV,MARGINC,SEXO
0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,Aguascalientes,AGUASCALIENTES     ,Comunitaria,Comunitaria,Muy alta o Alta,Mujer
0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,2,1,Aguascalientes,AGUASCALIENTES     ,Comunitaria,Comunitaria,Muy alta o Alta,Hombre
0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,21,6,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Mujer
0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,35,6,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Hombre
0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,41,6,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Mujer
0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,43,6,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Hombre
0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,50,6,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Mujer
1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,56,7,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Mujer
0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,57,7,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Hombre
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,67,7,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Mujer
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,68,7,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Mujer
1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,7,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Mujer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,83,8,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy alta o Alta,Hombre
0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,84,8,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy alta o Alta,Hombre
0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,97,9,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Mujer
0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,127,9,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Mujer
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,132,9,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Hombre
1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,134,9,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Hombre
0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,135,9,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Mujer
0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,142,9,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Mujer
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,144,9,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Mujer
0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,149,9,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Mujer
0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,152,10,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Hombre
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,155,11,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Mujer
0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,156,11,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Mujer
0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,164,11,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Hombre
0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,167,11,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Hombre
0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,174,11,Aguascalientes,AGUASCALIENTES     ,General Pública,General Pública,Muy Baja o Baja,Mujer
