"","type","guess","se.guess","slip","se.slip","rmsea"
"PMA01","DINA",0.135,0.003,0.165,0.013,0.0103044066455675
"PMA02","DINA",0.064,0.001,0.138,0.005,0.0102006109392721
"PMA03","DINA",0.137,0.003,0.421,0.011,0.0460307682093454
"PMA04","DINA",0.416,0.005,0.25,0.013,0.0254344816433363
"PMA05","DINA",0.48,0.006,0.093,0.004,0.0205615698823075
"PMA06","DINA",0.439,0.005,0.199,0.011,0.0288527616408577
"PMA07","DINA",0.222,0.003,0.356,0.014,0.0562866307685576
"PMA08","DINA",0.555,0.006,0.019,0.001,0.0157668748480342
"PMB01","DINA",0.086,0.002,0.492,0.026,0.0217034231317829
"PMB02","DINA",0.261,0.005,0.203,0.005,0.00816796991640529
"PMB03","DINA",0.324,0.006,0.109,0.003,0.0192491727387919
"PMB04","DINA",0.326,0.005,0.179,0.005,0.0106608275974845
"PMB05","DINA",0.274,0.004,0.111,0.004,0.0067515781557419
"PMB06","DINA",0.348,0.005,0.251,0.008,0.0271913676899333
"PMB07","DINA",0.334,0.004,0.144,0.009,0.0299153703306723
"PMB08","DINA",0.377,0.004,0.097,0.006,0.0286788167984055
"PMB09","DINA",0.367,0.004,0.117,0.008,0.0264908561532975
