Etiquetas de fila,Cuenta de SAP,Suma de Equipos por sede,Suma de Número de Salas
Aguascalientes,4,678,26
Baja California,35,2981,84
Baja California Sur,8,531,16
Campeche,2,412,9
CDMX,66,4686,172
Chihuahua,46,5234,163
Coahuila,40,2482,93
Colima,7,729,24
Durango,12,1472,50
Edo. Méx.,94,6265,215
Guanajuato,44,3057,91
Hidalgo,30,1754,62
Jalisco,33,3041,97
Michoacán,12,1215,40
Morelos,14,1115,36
Nayarit,5,538,22
Nuevo León,14,1960,60
Puebla,18,2279,98
Querétaro,17,1507,45
Quintana Roo,9,756,24
San Luis Potosí,17,1474,48
Sinaloa,35,1928,61
Sonora,25,4810,149
Tabasco,12,1145,42
Tamaulipas,37,2668,92
Tlaxcala,11,889,29
Veracruz,7,2106,69
Yucatán,24,1302,51
Zacatecas,8,990,36
Total general,686,60004,2004
