Etiquetas de fila,Cuenta de SAP,Suma de Equipos por sede,Suma de Número de Salas
Aguascalientes,4,678,26
Baja California,35,"2,981",84
Baja California Sur,8,531,16
Campeche,2,412,9
CDMX,66,"4,686",172
Chihuahua,46,"5,234",163
Coahuila,40,"2,482",93
Colima,7,729,24
Durango,12,"1,472",50
Edo. Méx.,94,"6,265",215
Guanajuato,44,"3,057",91
Hidalgo,30,"1,754",62
Jalisco,33,"3,041",97
Michoacán,12,"1,215",40
Morelos,14,"1,115",36
Nayarit,5,538,22
Nuevo León,14,"1,960",60
Puebla,18,"2,279",98
Querétaro,17,"1,507",45
Quintana Roo,9,756,24
San Luis Potosí,17,"1,474",48
Sinaloa,35,"1,928",61
Sonora,25,"4,810",149
Tabasco,12,"1,145",42
Tamaulipas,37,"2,668",92
Tlaxcala,11,889,29
Veracruz,7,"2,106",69
Yucatán,24,"1,302",51
Zacatecas,8,990,36
Total general,686,"60,004","2,004"
